iterations,time taken (in s)
25937,4.023152542
33101,4.327341417
24707,3.983353917
7041,1.172338458
20767,2.337321958
26714,4.012714084
29566,4.028097125
25344,4.012883167
24990,4.020740334
2613,0.523830584
23815,4.000030083
20826,2.310898459
5840,1.178672958
32090,4.127170625
36363,4.364694
34537,4.324030167
23647,4.030139208
22909,3.9593195
34802,4.338135791
19136,2.292338916
22121,4.031396542
20164,2.318758667
34396,4.406904333
22360,4.011536333
27112,3.999634042
8564,1.2615395
20713,2.37478975
15083,2.138748417
21977,3.962737834
37740,4.374232125
27823,4.016269291
6622,1.194604333
17711,2.28592525
9169,1.2636185
37846,4.367643167
26829,4.096776333
27526,4.066680834
21668,2.310925875
37592,4.34885275
9374,1.281708917
32809,4.354296291
4624,0.775412291
36678,4.3428383329999996
12232,2.1091615
21792,2.300417458
33723,4.380742083
20870,2.379949458
9432,1.252963833
25195,4.079195416
29223,3.99626875
3538,0.740246458
8936,1.262008792
18469,2.318647584
38201,4.369333458
2231,0.434043958
20021,2.280428375
14004,2.127500541
